Wall time,Step,Value
1759284182.005551,69600,-7.53646993637085
1759284182.043456,69650,-23.22911834716797
1759284182.863837,70750,-63.2981071472168
1759284183.310399,71350,-96.66031646728516
1759284183.68874,71850,-80.56165313720703
1759284183.836247,72050,-64.5050048828125
1759284184.7837162,73300,-9.500377655029297
1759284184.820081,73350,-17.70248794555664
1759284185.232685,73900,-31.42157554626465
1759284185.539319,74300,5.223785877227783
1759284185.693388,74500,21.402616500854492
1759284185.771165,74600,21.402616500854492
1759284187.0042949,76200,160.6859130859375
1759284187.1534731,76400,180.03147888183594
1759284188.111339,77650,290.9822998046875
1759284188.7863371,78450,364.42742919921875
1759284188.824596,78500,380.341796875
1759284189.375018,79250,353.28790283203125
1759284189.517424,79450,-57.89299392700195
1759284190.132619,80250,-13.053107261657715
1759284190.170026,80300,4.121296405792236
1759284191.028917,81400,92.58026123046875
1759284191.247604,81650,111.18258666992188
1759284191.43599,81900,147.7242431640625
1759284191.547958,82050,147.7242431640625
1759284191.7546701,82300,183.9866485595703
1759284191.893069,82450,183.9866485595703
1759284192.378091,83050,240.14254760742188
1759284192.6900191,83450,277.9206848144531
1759284192.9662662,83800,314.4459533691406
1759284193.235637,84150,348.89776611328125
1759284193.581752,84600,386.14190673828125
1759284193.7380638,84800,403.79742431640625
1759284193.8126452,84900,421.5270690917969
1759284193.8932009,85000,421.5270690917969
1759284194.008909,85150,438.5256042480469
1759284194.2954519,85500,472.6278991699219
1759284194.650135,85950,506.22467041015625
1759284195.033634,86450,545.9400634765625
1759284195.18512,86650,562.63623046875
1759284195.261642,86750,580.1006469726562
1759284195.3773649,86900,597.79052734375
1759284195.5687401,87150,619.139892578125
1759284195.680486,87300,615.9200439453125
1759284195.716759,87350,611.5339965820312
1759284196.4708962,88350,-102.66825866699219
1759284196.8118012,88800,-85.09400177001953
1759284197.037371,89100,-77.23082733154297
1759284197.2921002,89450,-63.863731384277344
1759284197.3291001,89500,-62.96024703979492
1759284197.666603,89950,-64.99769592285156
1759284197.926375,90300,-84.4745101928711
1759284198.7486348,91350,15.696969985961914
1759284198.902863,91550,34.374122619628906
1759284199.400597,92050,72.99412536621094
1759284199.582997,92250,90.8076400756836
1759284199.958755,92700,128.01124572753906
1759284200.505433,93350,194.12110900878906
1759284200.622952,93500,194.12110900878906
1759284200.852876,93800,217.90164184570312
1759284200.9375098,93900,217.90164184570312
1759284202.3059509,95600,377.69403076171875
1759284202.55039,95900,393.95068359375
1759284203.227894,96750,488.07159423828125
1759284203.623225,97250,526.3132934570312
1759284203.7505221,97400,544.0369873046875
1759284203.83408,97500,544.0369873046875
1759284204.557478,98400,638.0455932617188
1759284205.142273,99100,694.3507690429688
1759284205.220937,99200,713.8096923828125
1759284205.957966,100100,789.3181762695312
1759284206.111719,100300,808.1697998046875
1759284206.435885,100700,846.9022216796875
1759284207.1227798,101550,941.9609985351562
1759284207.351681,101850,960.7091674804688
1759284208.3576179,103050,1075.4012451171875
1759284208.871532,103700,1130.814453125
1759284208.985024,103850,1148.7730712890625
1759284209.0234141,103900,1148.7730712890625
1759284209.1084979,104000,1166.72265625
1759284209.199323,104100,1166.72265625
1759284209.350914,104300,1184.5675048828125
1759284209.506468,104500,1203.18798828125
1759284209.7947788,104850,1239.1944580078125
1759284210.404048,105600,1316.30126953125
1759284211.8227048,107300,1465.6126708984375
1759284212.0036402,107500,1485.5625
1759284212.309493,107850,1523.1566162109375
1759284212.679884,108300,1559.134521484375
1759284213.168592,108900,1614.112548828125
1759284213.5755332,109400,1663.8118896484375
1759284213.652691,109500,1663.8118896484375
1759284213.733372,109600,1681.963623046875
1759284213.9450471,109850,1695.952392578125
1759284214.063334,110000,1677.4012451171875
1759284214.4030669,110400,1670.564697265625
1759284214.5581481,110600,1686.978271484375
1759284215.38659,111600,466.041259765625
1759284215.600171,111850,-22.569631576538086
1759284215.6372428,111900,-5.221653461456299
1759284215.7135842,112000,-4.7090301513671875
1759284215.840254,112150,12.225894927978516
1759284215.9997299,112350,-21.3587703704834
1759284216.036273,112400,-20.948810577392578
1759284216.3246799,112750,-21.991230010986328
1759284216.4377759,112900,-20.84346580505371
1759284216.631702,113150,-19.631879806518555
1759284217.386219,114100,-20.630319595336914
1759284217.857663,114600,-21.612091064453125
1759284218.111913,114900,-23.650068283081055
1759284218.39663,115200,-21.189456939697266
1759284218.597902,115400,-21.35434341430664
1759284219.102207,116000,-23.1455135345459
1759284219.140486,116050,-21.568838119506836
1759284220.109271,117300,-22.20554542541504
1759284220.442743,117750,-22.328590393066406
1759284221.7761369,119500,49.551513671875
1759284221.814121,119550,49.551513671875
1759284221.8898282,119650,49.551513671875
1759284223.551018,121850,-23.45162582397461
1759284223.849779,122250,-21.597623825073242
1759284224.108702,122600,-23.243074417114258
1759284224.181654,122700,-23.153884887695312
1759284224.257183,122800,-22.11151695251465
1759284224.4436638,123050,-21.107500076293945
1759284225.365392,124300,-20.020614624023438
1759284225.401633,124350,-21.82573699951172
1759284225.763423,124850,-19.610000610351562
1759284225.83609,124950,-21.660205841064453
1759284226.020107,125200,-24.020286560058594
1759284226.5307992,125900,-23.63228988647461
1759284226.748287,126200,-5.834366798400879
1759284227.072625,126650,-20.990245819091797
1759284227.620246,127400,-21.63918113708496
1759284227.7735229,127600,-22.645931243896484
1759284227.845526,127700,-20.738319396972656
1759284228.761889,128950,-25.644906997680664
1759284229.202699,129550,-23.492990493774414
1759284229.5801952,130050,-19.734840393066406
1759284229.793163,130350,-21.8808650970459
1759284230.408565,131200,-20.601797103881836
1759284230.624795,131500,-21.893606185913086
1759284230.661111,131550,-22.22344207763672
